time,gFx,gFy,gFz,TgF
0.0050,-0.5284,0.8966,-0.0327,1.041
0.0060,-0.5204,0.9046,-0.0327,1.044
0.0200,-0.5244,0.9006,-0.0367,1.043
0.0260,-0.5204,0.9086,-0.0247,1.047
0.0340,-0.5164,0.9166,-0.0127,1.052
0.0510,-0.5123,0.9166,-0.0127,1.050
0.0550,-0.5123,0.9206,-0.0287,1.054
0.0800,-0.5043,0.9286,-0.0327,1.057
0.0810,-0.5003,0.9206,-0.0407,1.049
0.0920,-0.4963,0.9206,-0.0247,1.046
0.1110,-0.4963,0.9206,-0.0327,1.046
0.1120,-0.4923,0.9086,-0.0407,1.034
0.1130,-0.5003,0.9006,-0.0407,1.031
0.1270,-0.5003,0.9046,-0.0287,1.034
0.1510,-0.5164,0.9086,-0.0407,1.046
0.1580,-0.5123,0.9086,-0.0407,1.044
0.1590,-0.5164,0.9086,-0.0447,1.046
0.1810,-0.5244,0.9046,-0.0407,1.046
0.1840,-0.5204,0.9046,-0.0327,1.044
0.1860,-0.5204,0.9006,-0.0247,1.040
0.1940,-0.5204,0.9006,-0.0127,1.040
0.2070,-0.5164,0.9046,-0.0207,1.042
0.2140,-0.5204,0.9086,-0.0247,1.047
0.2380,-0.5164,0.9126,-0.0287,1.049
0.2390,-0.5164,0.9126,-0.0327,1.049
0.2450,-0.5083,0.9166,-0.0247,1.048
0.2550,-0.5123,0.9206,-0.0207,1.054
0.2710,-0.5003,0.9126,-0.0247,1.041
0.2770,-0.4883,0.9126,-0.0127,1.035
0.2850,-0.5083,0.9046,-0.0087,1.038
0.2990,-0.5043,0.8966,-0.0087,1.029
0.3070,-0.5204,0.9086,-0.0167,1.047
0.3140,-0.5083,0.8926,-0.0287,1.028
0.3360,-0.5123,0.9046,-0.0247,1.040
0.3380,-0.5244,0.9046,-0.0247,1.046
0.3500,-0.5204,0.9086,-0.0287,1.047
0.3560,-0.5204,0.9046,-0.0327,1.044
0.3670,-0.5164,0.9046,-0.0447,1.043
0.3770,-0.5164,0.9006,-0.0447,1.039
0.3840,-0.5123,0.9126,-0.0487,1.048
0.3950,-0.5043,0.9046,-0.0487,1.037
0.4080,-0.4963,0.9086,-0.0367,1.036
0.4140,-0.4963,0.9006,-0.0287,1.029
0.4280,-0.4923,0.9006,-0.0207,1.027
0.4340,-0.5123,0.9086,-0.0167,1.043
0.4580,-0.5043,0.9086,-0.0247,1.039
0.4600,-0.5164,0.9086,-0.0287,1.045
0.4730,-0.5083,0.9166,-0.0367,1.049
0.4740,-0.5003,0.9086,-0.0487,1.038
0.4840,-0.5043,0.9046,-0.0367,1.036
0.4950,-0.5003,0.8966,-0.0247,1.027
0.5070,-0.4963,0.9006,-0.0327,1.029
0.5140,-0.4963,0.9046,-0.0287,1.032
0.5450,-0.4963,0.8966,-0.0247,1.025
0.5470,-0.5043,0.9046,-0.0287,1.036
0.5480,-0.5244,0.9046,-0.0367,1.046
0.5570,-0.5284,0.9046,-0.0487,1.049
0.5660,-0.5204,0.9086,-0.0527,1.048
0.5740,-0.5244,0.9086,-0.0607,1.051
0.5840,-0.5244,0.9046,-0.0407,1.046
0.5950,-0.5164,0.9046,-0.0327,1.042
0.6070,-0.5083,0.9126,-0.0327,1.045
0.6140,-0.5164,0.9086,-0.0327,1.046
0.6260,-0.5043,0.9006,-0.0407,1.033
0.6340,-0.5123,0.9006,-0.0367,1.037
0.6560,-0.5043,0.9166,-0.0367,1.047
0.6580,-0.5083,0.9046,-0.0287,1.038
0.6690,-0.5123,0.9046,-0.0327,1.040
0.6830,-0.5043,0.9086,-0.0367,1.040
0.6850,-0.5043,0.9126,-0.0447,1.044
0.6970,-0.5083,0.9046,-0.0407,1.038
0.7080,-0.5083,0.9086,-0.0327,1.042
0.7140,-0.5043,0.9206,-0.0287,1.050
0.7380,-0.5123,0.9166,-0.0327,1.051
0.7390,-0.5164,0.9126,-0.0287,1.049
0.7460,-0.5244,0.9126,-0.0287,1.053
0.7580,-0.5204,0.9046,-0.0327,1.044
0.7640,-0.5204,0.9086,-0.0407,1.048
0.7740,-0.5123,0.9006,-0.0367,1.037
0.7840,-0.5123,0.9006,-0.0487,1.037
0.7940,-0.5043,0.9086,-0.0327,1.040
0.8070,-0.5083,0.9006,-0.0447,1.035
0.8140,-0.5244,0.9006,-0.0527,1.043
