time,gFx,gFy,gFz,TgF
0.0060,-0.4843,0.8966,-0.0087,1.019
0.0080,-0.4883,0.9006,0.0233,1.025
0.0390,-0.5003,0.8926,0.0153,1.023
0.0420,-0.5123,0.9046,-0.0047,1.040
0.0430,-0.5204,0.9006,-0.0127,1.040
0.0450,-0.5204,0.9126,-0.0247,1.051
0.0540,-0.5164,0.9046,-0.0207,1.042
0.0650,-0.5123,0.9126,-0.0247,1.047
0.0810,-0.5083,0.9206,-0.0247,1.052
0.0820,-0.4963,0.9086,-0.0167,1.035
0.0990,-0.4963,0.9126,-0.0167,1.039
0.1020,-0.4803,0.9086,-0.0127,1.028
0.1230,-0.4803,0.9126,-0.0007,1.031
0.1240,-0.4843,0.9126,-0.0047,1.033
0.1450,-0.4923,0.9006,-0.0047,1.026
0.1470,-0.5043,0.9046,-0.0047,1.036
0.1600,-0.5123,0.9126,-0.0207,1.047
0.1620,-0.5164,0.8966,-0.0407,1.035
0.1730,-0.5204,0.8966,-0.0407,1.037
0.1820,-0.5123,0.8966,-0.0367,1.033
0.1920,-0.5123,0.9006,-0.0327,1.037
0.2030,-0.5043,0.9006,-0.0247,1.033
0.2190,-0.5003,0.8966,-0.0087,1.027
0.2220,-0.5003,0.9006,-0.0127,1.030
0.2390,-0.5083,0.9046,-0.0087,1.038
0.2420,-0.5043,0.9046,-0.0047,1.036
0.2550,-0.5083,0.9086,-0.0167,1.041
0.2620,-0.5043,0.9126,-0.0127,1.043
0.2730,-0.5003,0.9126,-0.0007,1.041
0.2820,-0.5083,0.9086,-0.0127,1.041
0.2920,-0.5123,0.9166,-0.0207,1.050
0.3020,-0.5083,0.9206,-0.0247,1.052
0.3320,-0.5083,0.9166,-0.0247,1.048
0.3330,-0.5244,0.9086,-0.0247,1.049
0.3340,-0.5164,0.9126,-0.0287,1.049
0.3420,-0.5123,0.9086,-0.0207,1.043
0.3520,-0.5043,0.9086,-0.0127,1.039
0.3620,-0.4923,0.9126,-0.0127,1.037
0.3740,-0.4963,0.9166,-0.0207,1.043
0.3820,-0.5083,0.9126,-0.0207,1.045
0.3920,-0.5083,0.9086,-0.0247,1.041
0.4020,-0.5043,0.9126,-0.0167,1.043
