time,Azimuth:,Pitch:,Roll:
0.034,-82.246,-64.420,-83.660
0.079,-83.837,-64.420,-83.660
0.105,-87.762,-65.556,-90.000
0.146,-85.718,-65.556,-90.000
0.180,-82.726,-65.427,-86.730
0.244,-85.023,-64.610,-87.397
0.280,-85.795,-64.610,-87.397
0.315,-83.668,-65.625,-87.274
0.346,-81.791,-65.625,-87.274
0.384,-84.328,-65.158,-88.919
0.454,-80.821,-65.526,-86.149
0.480,-80.979,-65.526,-86.149
0.524,-80.334,-66.139,-86.634
0.546,-79.770,-66.139,-86.634
0.594,-81.514,-65.300,-86.791
0.665,-83.614,-65.043,-88.394
0.680,-83.005,-65.043,-88.394
0.734,-78.106,-65.795,-85.006
0.746,-78.258,-65.795,-85.006
0.804,-80.007,-64.441,-84.184
0.874,-82.257,-64.945,-87.299
0.879,-81.655,-64.945,-87.299
0.944,-81.648,-65.241,-87.839
0.947,-83.329,-65.241,-87.839
1.014,-82.563,-65.343,-87.274
1.080,-83.741,-65.343,-87.274
1.083,-87.442,-64.751,-90.000
1.146,-89.289,-64.751,-90.000
1.155,-88.589,-65.146,-90.000
1.224,-83.893,-65.954,-86.634
1.280,-83.865,-65.954,-86.634
1.295,-84.704,-65.830,-87.248
1.347,-84.489,-65.830,-87.248
1.364,-87.244,-64.934,-88.409
1.435,-84.632,-65.209,-86.222
1.480,-84.009,-65.209,-86.222
1.504,-85.585,-65.225,-87.859
1.547,-84.562,-65.225,-87.859
1.574,-82.595,-65.922,-87.248
1.645,-84.845,-64.823,-87.349
1.680,-85.836,-64.823,-87.349
1.715,-86.641,-64.425,-87.374
1.747,-87.400,-64.425,-87.374
1.784,-84.751,-65.737,-87.248
1.854,-86.458,-65.146,-87.839
1.880,-85.465,-65.146,-87.839
1.925,-83.686,-64.990,-85.724
1.947,-82.219,-64.990,-85.724
1.994,-85.582,-64.635,-88.423
2.065,-82.820,-65.222,-86.760
2.080,-84.753,-65.222,-86.760
2.134,-86.225,-65.022,-87.879
2.146,-86.276,-65.022,-87.879
2.204,-86.099,-65.116,-87.879
2.274,-84.788,-65.514,-87.299
2.279,-87.011,-65.514,-87.299
2.344,-87.675,-65.429,-87.839
2.346,-87.855,-65.429,-87.839
2.414,-88.135,-65.547,-88.363
2.480,-89.067,-65.547,-88.363
2.483,-89.628,-65.248,-88.379
2.547,-87.097,-65.248,-88.379
2.561,-86.373,-65.352,-87.818
2.625,-87.269,-65.153,-88.379
2.680,-87.257,-65.153,-88.379
2.695,-86.311,-65.122,-87.325
2.747,-85.972,-65.122,-87.325
2.764,-86.105,-65.041,-87.299
2.835,-85.924,-65.660,-88.348
2.880,-84.879,-65.660,-88.348
2.905,-83.546,-65.521,-86.730
2.947,-85.632,-65.521,-86.730
2.975,-85.985,-65.860,-87.776
3.044,-89.587,-65.066,-90.000
3.080,-89.033,-65.066,-90.000
3.114,-86.325,-65.660,-88.348
3.147,-86.373,-65.660,-88.348
3.184,-85.262,-65.427,-86.730
3.254,-83.596,-65.699,-85.601
3.280,-80.925,-65.699,-85.601
3.324,-82.262,-65.085,-85.724
3.347,-84.113,-65.085,-85.724
3.394,-84.343,-65.444,-86.698
3.464,-87.606,-64.645,-88.409
3.480,-86.851,-64.645,-88.409
3.535,-86.268,-64.934,-88.409
3.548,-86.819,-64.934,-88.409
3.604,-85.851,-65.146,-87.839
3.675,-87.127,-65.033,-88.939
3.680,-88.335,-65.033,-88.939
3.745,-84.000,-65.827,-86.112
3.747,-81.583,-65.827,-86.112
3.815,-86.744,-65.461,-90.546
3.883,-87.116,-65.461,-90.546
3.884,-85.311,-65.853,-89.449
3.948,-85.272,-65.853,-89.449
3.960,-83.756,-65.532,-87.274
4.025,-84.993,-65.453,-88.363
4.081,-86.136,-65.453,-88.363
4.094,-84.649,-65.644,-87.248
4.148,-85.316,-65.644,-87.248
4.165,-84.508,-66.035,-87.221
4.236,-85.931,-65.867,-88.332
4.282,-85.427,-65.867,-88.332
4.305,-86.783,-65.458,-88.909
4.349,-86.314,-65.458,-88.909
4.374,-87.069,-65.350,-89.459
4.444,-88.577,-65.364,-91.091
4.482,-88.768,-65.364,-91.091
4.514,-85.161,-65.343,-87.274
4.549,-84.851,-65.343,-87.274
4.585,-85.667,-65.945,-89.449
4.654,-83.903,-65.521,-86.730
4.681,-83.372,-65.521,-86.730
4.724,-84.427,-65.540,-87.818
4.748,-85.535,-65.540,-87.818
4.795,-83.465,-65.494,-85.643
4.865,-87.694,-65.048,-88.929
4.883,-87.733,-65.048,-88.929
4.935,-86.571,-65.571,-88.898
4.949,-86.752,-65.571,-88.898
5.013,-86.018,-65.660,-88.348
5.074,-86.478,-65.241,-87.839
5.080,-87.131,-65.241,-87.839
5.145,-84.684,-66.058,-87.194
5.176,-84.856,-66.058,-87.194
5.214,-86.545,-65.540,-87.818
5.283,-83.795,-65.540,-87.818
5.284,-82.999,-64.894,-85.724
5.349,-84.113,-64.894,-85.724
5.363,-86.636,-65.461,-89.454
5.425,-87.619,-64.440,-88.423
5.483,-87.783,-64.440,-88.423
5.494,-83.295,-66.251,-87.754
